Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
grocery clerk,"Posted on March 04, 2024",The North West Company LP,"Pangnirtung, NU",18.00 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"No degree, certificate or diploma",Experience an asset,"Bag, box or parcel purchases for customers, for shipment or delivery, Obtain articles for customers from shelf or stockroom, Order stock, Record incoming stock, Price items using stamp or stickers according to price list, Perform general cleaning duties (i.e. sweeping, mopping floors), Operate cash register, Order picking, Provide customer service","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits, Subsidised public transportation",2024-04-28,https://www.jobbank.gc.ca/jobsearch/jobposting/40418566?source=searchresults
Aquatic Science Technician IV & V,"Posted on March 05, 2024",Fisheries and Oceans Canada - Arctic Aquatic Research Division,"Inuvik, , NT","70,159 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,2024-04-05,https://www.jobbank.gc.ca/jobsearch/jobposting/40431652?source=searchresults
retail store department head,"Posted on March 03, 2024",The North West Company LP,"Pangnirtung, NU","43,000 YEAR",37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Hire and train or arrange for training of staff, Establish work schedules, Sell merchandise, Resolve issues that may arise, including customer requests, complaints and supply shortages","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-27,https://www.jobbank.gc.ca/jobsearch/jobposting/40414702?source=searchresults
administrative assistant,"Posted on January 09, 2024",NUNAVUT AIRPORT SERVICES LTD.,"Iqaluit, NU",33.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Determine and establish office procedures and routines, Schedule and confirm appointments, Answer telephone and relay telephone calls and messages, Answer electronic enquiries, Order office supplies and maintain inventory, Greet people and direct them to contacts or service areas, Set up and maintain manual and computerized information filing systems, Type and proofread correspondence, forms and other documents",,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/39982019?source=searchresults
retail store department head,"Posted on December 05, 2023",The North West Company LP,"Igloolik, NU","43,000 YEAR",37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Hire and train or arrange for training of staff, Establish work schedules, Sell merchandise, Resolve issues that may arise, including customer requests, complaints and supply shortages","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-03,https://www.jobbank.gc.ca/jobsearch/jobposting/39723200?source=searchresults
line cook,"Posted on March 20, 2024",Asian Kitchen NU Inc.,"Iqaluit, NU",22.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,English,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year

or equivalent experience",1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Train staff in preparation, cooking and handling of food, Order supplies and equipment, Supervise kitchen staff and helpers, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, Gratuities, On-site housing options, Other benefits, Transportation provided by employer",2024-04-19,https://www.jobbank.gc.ca/jobsearch/jobposting/40571530;jsessionid=F4CE0B03C1B9592CA87E9B5792CFF8FB.jobsearch74?source=searchresults
plumber,"Posted on January 28, 2024",NUNAVUT EXCAVATING,"Iqaluit, NU",41.25 HOUR,32 to 35 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"Secondary (high) school graduation certificate

or equivalent experience",3 years to less than 5 years,"Install, repair and maintain domestic, commercial or industrial plumbing fixtures and systems, Locate and mark positions for pipe connections, passage holes and fixtures in walls and floors, Cut opening in walls and floors to accommodate pipe and pipe fittings, Join pipes using couplings, clamps, screws, bolts, cement or soldering, brazing and welding equipment, Test pipes for leaks using air and water pressure gauges, Measure, cut, thread and bend pipes to required shape and size",,2024-04-13,https://www.jobbank.gc.ca/jobsearch/jobposting/40139095?source=searchresults
"specialist, HVAC (heating, ventilation and air conditioning) systems","Posted on March 27, 2024",Nasittuq Corporation,"Grise Fiord, NU",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-28,https://www.jobbank.gc.ca/jobsearch/jobposting/40656714?source=searchresults
cleaning supervisor,"Posted on March 02, 2024",3M Cleaning Services,"Iqaluit, NU",24.30 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Hire and train or arrange for training of cleaning staff, Supervise and co-ordinate activities of workers, Inspect sites or facilities to ensure safety and cleanliness standards, Recommend or arrange for additional services required such as painting, repair work, renovations or replacement of furnishings and equipment, Receive payment for specialized cleaning jobs, Assist cleaners in performing duties, Co-ordinate work activities with other departments, Establish work schedules",,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/40408959?source=searchresults
support worker - social services,"Posted on March 25, 2024",Wenson Support Services,"Iqaluit, NU",35.00 HOUR,36 to 48 hours per week,Permanent employmentFull time,Starts as soon as possible,6 vacancies,English,"Other trades certificate or diploma

or equivalent experience",1 year to less than 2 years,"Prepare reports or case histories, Appraise clients' needs or eligibility for specific services, Conduct social research, Assess client's relevant skill strengths and development needs, Housekeeping activities, Food preparation, Resolve conflict situations, Supervise activities of clients living in group homes and half-way houses, Implement behaviour management programs, Conduct individual and group counselling sessions, Liaise with other social services agencies and health care providers involved with clients, Maintain program statistics for purposes of evaluation and research, Assist clients/guests with special needs, Offer mentoring","Dental plan, Paramedical services coverage, On-site housing options, Other benefits",2024-04-24,https://www.jobbank.gc.ca/jobsearch/jobposting/40619855;jsessionid=F4CE0B03C1B9592CA87E9B5792CFF8FB.jobsearch74?source=searchresults
