Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,url
janitor,"Posted on January 29, 2024",Somba Ke Family Dental,"Yellowknife, NT",25.00 HOUR,42.5 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",Experience an asset,"Sweep, mop, scrub and wax hallways, floors and stairs, Empty trash cans and other waste containers, Wash windows, interior walls and ceilings, Make adjustments and minor repairs to heating, cooling, ventilation, plumbing and electrical systems, and contact tradespersons for major repairs, Perform safety and security checks, Clean and disinfect bathrooms and fixtures, Work with minimal supervision, Clean snow and ice from walkways and parking areas",,https://www.jobbank.gc.ca/jobsearch/jobposting/40142606?source=searchresults
millwright,"Posted on March 13, 2024",Aplin,"Yellowknife, NT",,,,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40509435?source=searchresults
construction labourer,"Posted on March 17, 2024",Aecon Construction Solutions Inc,"Yellowknife, NT",24.49 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40557085?source=searchresults
parts clerk,"Posted on March 26, 2024",Ron's Auto Service Ltd,"Yellowknife, NT",23.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"Registered Apprenticeship certificate

or equivalent experience",2 years to less than 3 years,"Answer telephone and relay telephone calls and messages, Set-up displays of retail parts and accessories, Address customers' complaints or concerns, Advise on use and appropriateness of goods or parts, Handle cash transactions, Identify, label and catalogue items received, Issue and distribute parts and supplies for internal use, Prepare and track work orders, Prepare requisition orders to replenish parts and supplies, Receive, unpack and sort incoming parts, supplies and materials, Sell spare and replacement parts, Store items in warehouse, tool room or supply area","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Pension plan, Parking available",https://www.jobbank.gc.ca/jobsearch/jobposting/40624695;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
waiter/waitress,"Posted on March 12, 2024",HM Holding Ltd.,"Yellowknife, NT",16.05 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",Will train,"Prepare and serve specialty food at customers' tables, Present bills to customers and accept payment in cash, credit or debit cards, travellers cheques or room billings, Greet patrons, present menus, make recommendations and answer questions regarding food and beverages, Order and maintain inventory of wines and wine glassware, Serve food and beverages, Take orders and relay to kitchen and bar staff",,https://www.jobbank.gc.ca/jobsearch/jobposting/40492888?source=searchresults
Kitchen helper,"Posted on February 26, 2024",984260 NWT Ltd,"Fort Smith, NT",16.05 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"No degree, certificate or diploma",Will train,"Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Handle and store cleaning products, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Remove kitchen garbage and trash, Wash, peel and cut vegetables and fruit",,https://www.jobbank.gc.ca/jobsearch/jobposting/40370256?source=searchresults
cook,"Posted on February 25, 2024",Dexterra,"Yellowknife, NT",27.00 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Prepare and cook special meals for patients as instructed by dietitian or chef, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Train staff in preparation, cooking and handling of food, Order supplies and equipment, Supervise kitchen staff and helpers, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Manage kitchen operations","Dental plan, Disability benefits, Health care plan, Vision care benefits, Life insurance",https://www.jobbank.gc.ca/jobsearch/jobposting/40362832?source=searchresults
food service attendant,"Posted on January 25, 2024",The Rooster,"Hay River, NT",16.75 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",Will train,"Bring clean dishes, flatware and other items to serving areas and set tables, Clean and sanitize items such as dishwasher mats, carts and waste disposal units, Clear and clean tables, trays and chairs, Operate dishwashers to wash dishes, glassware and flatware, Place dishes in storage area, Sanitize and wash dishes and other items by hand, Keep records of the quantities of food used, Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Stock refrigerators and salad bars, Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Remove kitchen garbage and trash, Sweep, mop, wash and polish floors",,https://www.jobbank.gc.ca/jobsearch/jobposting/40610919?source=searchresults
Field Electronics Technologist,"Posted on March 19, 2024","Natural Resources Canada - Lands and Minerals Sector - Hazards, Adaptation and Operations Branch - Canadian Hazards Information Service","Yellowknife, NT","77,442 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40558279?source=searchresults
,,,,,,,,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40383574?source=searchresults
line cook,"Posted on February 10, 2024",Ptarmigan Inn Hotels Ltd,"Hay River, NT",21.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Prepare and cook special meals for patients as instructed by dietitian or chef, Inspect kitchens and food service areas, Clean kitchen and work areas, Organize buffets and banquets",Health care plan,https://www.jobbank.gc.ca/jobsearch/jobposting/40250858?source=searchresults
heavy equipment mechanic,"Posted on March 08, 2024",Conseil de développement économique des TNO,"Yellowknife, NT",30.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40461289?source=searchresults
food service supervisor,"Posted on January 25, 2024",The Rooster,"Hay River, NT",19.25 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Prepare food order summaries for chef, Must have knowledge of the establishment's culinary genres, Establish work schedules",,https://www.jobbank.gc.ca/jobsearch/jobposting/40610918?source=searchresults
truck operator,"Posted on March 04, 2024",Aplin,"Yellowknife, NT",,,,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40427172?source=searchresults
supermarket cashier,"Posted on February 27, 2024",507493 N.W.T. Ltd.,"Yellowknife, NT",16.05 HOUR,32 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,5 vacancies,English,"No degree, certificate or diploma",1 to less than 7 months,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40377589?source=searchresults
delivery driver,"Posted on December 12, 2023",RH Courier Ltd.,"Yellowknife, NT",21.00 HOUR,40 to 60 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",Will train,"Deliver and pick up messages, parcels, and other items by hand, Operate and drive automobiles, vans and light trucks to pick up and deliver various items and products, Professionalism in customer service, Receive and relay information to central dispatch, Load and unload goods, Use maps and other trip planning aids, Record trip information such as vehicle mileage, fuel costs and any problems, Perform pre-trip, en route and post-trip inspection and oversee all aspects of vehicle","Free parking available, Paid time off (volunteering or personal days)",https://www.jobbank.gc.ca/jobsearch/jobposting/40008715?source=searchresults
office manager,"Posted on February 14, 2024",Tatem And Wolf,"Hay River, , NT",25.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,Bilingual,"Bachelor's degree

or equivalent experience",1 year to less than 2 years,"Delegate work to office support staff, Establish work priorities and ensure procedures are followed and deadlines are met, Carry out administrative activities of establishment, Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation, Co-ordinate and plan for office services such as accommodation, relocation, equipment, supplies, forms, disposal of assets, parking, maintenance and security services, Assist in the preparation of operating budget and maintain inventory and budgetary controls, Assemble data and prepare periodic and special reports, manuals and correspondence, Perform data entry, Oversee and co-ordinate office administrative procedures, Commission, Monitor and evaluate, 5-10 people","On-site housing options, Team building opportunities, Transportation provided by employer, Parking available",https://www.jobbank.gc.ca/jobsearch/jobposting/40282420?source=searchresults
restaurant manager,"Posted on January 17, 2024",Soul Restaurants Canada Inc,"Yellowknife, NT","70,000 YEAR",40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",1 year to less than 2 years,"Plan, organize, direct, control and evaluate daily operations, Ensure health and safety regulations are followed, Set staff work schedules and monitor staff performance, Address customers' complaints or concerns, Recruit, train and supervise staff","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Deferred Profit Sharing Plan (DPSP)",https://www.jobbank.gc.ca/jobsearch/jobposting/40041838?source=searchresults
